Distributor ID,Distributor Name,Industry,Headquarters City,Coverage Area,Founded Year,Market Reach Score (%),Network Strength Score (%),Reliability Score (%),Growth Rate Score (%),Market Share Estimate (%),Success Rate (%),Pros,Cons,Overall Performance Score (%),Website,Contact Email,Data Confidence Score (%),Notes
IND-DIST-1019,Viacom18 Studios,Film,Kolkata,Regional,2006,76,72,97,86,9.08,74,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.4,www.viacom18studios.in,contact@viacom18studios.com,92,Key player in current market analysis.
IND-DIST-1020,Saregama India,Film,Delhi,National,1980,90,92,89,80,14.59,75,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",86.55,www.saregamaindia.in,contact@saregamaindia.com,91,Key player in current market analysis.
IND-DIST-1021,Panorama Studios,Film,Lucknow,National,1979,79,88,78,78,13.77,78,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.75,www.panoramastudios.in,contact@panoramastudios.com,96,Key player in current market analysis.
IND-DIST-1022,T-Series Distribution,Film,Ahmedabad,National,1992,78,85,81,85,4.99,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.75,www.t-seriesdistribution.in,contact@t-seriesdistribution.com,94,Key player in current market analysis.
IND-DIST-1023,Phars Film,Film,Delhi,National,2017,78,87,77,71,5.01,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.35,www.pharsfilm.in,contact@pharsfilm.com,91,Key player in current market analysis.
IND-DIST-1024,AP International,Film,Lucknow,National,1976,79,75,99,74,6.77,94,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.5,www.apinternational.in,contact@apinternational.com,96,Key player in current market analysis.
IND-DIST-1025,KJR Studios,Film,Ahmedabad,National,2005,76,96,92,77,10.31,70,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.45,www.kjrstudios.in,contact@kjrstudios.com,85,Key player in current market analysis.
IND-DIST-1026,Thinkk Big Entertainment,Film,Lucknow,National,1995,95,74,83,80,8.39,74,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",81.95,www.thinkkbigentertainment.in,contact@thinkkbigentertainment.com,85,Key player in current market analysis.
IND-DIST-1027,Goldmines Telefilms,Film,Bengaluru,National,2015,85,92,79,77,2.34,77,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.15,www.goldminestelefilms.in,contact@goldminestelefilms.com,89,Key player in current market analysis.
IND-DIST-1028,B4U Movies,Film,Kochi,Regional,2014,94,95,94,85,7.38,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",91.85,www.b4umovies.in,contact@b4umovies.com,96,Key player in current market analysis.
IND-DIST-1029,Venus Worldwide Entertainment,Film,Kolkata,Regional,1983,91,96,96,69,4.47,73,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",87.25,www.venusworldwideentertainment.in,contact@venusworldwideentertainment.com,89,Key player in current market analysis.
IND-DIST-1030,UFO Moviez,Film,Lucknow,National,1996,73,93,82,70,6.19,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",79.05,www.ufomoviez.in,contact@ufomoviez.com,95,Key player in current market analysis.
IND-DIST-1031,PVR Pictures,Film,Hyderabad,National,2010,93,83,87,65,11.42,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",81.8,www.pvrpictures.in,contact@pvrpictures.com,97,Key player in current market analysis.
IND-DIST-1032,Mukta Arts,Film,Gurugram,International,1995,82,81,99,72,5.02,90,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",84.85,www.muktaarts.in,contact@muktaarts.com,93,Key player in current market analysis.
IND-DIST-1033,Tips Industries,Film,Chennai,National,1994,88,82,85,83,9.77,76,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.35,www.tipsindustries.in,contact@tipsindustries.com,94,Key player in current market analysis.
IND-DIST-1034,Shemaroo Entertainment,Film,Pune,International,1985,79,73,98,83,5.78,81,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.2,www.shemarooentertainment.in,contact@shemarooentertainment.com,86,Key player in current market analysis.
IND-DIST-1035,Hindustan Unilever distributors,FMCG,Lucknow,National,1996,87,98,77,84,7.8,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",87.3,www.hindustanunileverdistributors.in,contact@hindustanunileverdistributors.com,93,Key player in current market analysis.
IND-DIST-1036,ITC distributors,FMCG,Lucknow,International,1974,93,80,80,93,3.26,83,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.65,www.itcdistributors.in,contact@itcdistributors.com,94,Key player in current market analysis.
IND-DIST-1037,Nestle India distributors,FMCG,Kolkata,Regional,1971,80,70,91,67,8.3,72,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",76.55,www.nestleindiadistributors.in,contact@nestleindiadistributors.com,89,Key player in current market analysis.
IND-DIST-1038,Britannia Industries distributors,FMCG,Mumbai,National,1975,76,97,83,88,14.51,84,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.65,www.britanniaindustriesdistributors.in,contact@britanniaindustriesdistributors.com,94,Key player in current market analysis.
IND-DIST-1039,Parle Products distributors,FMCG,Ahmedabad,National,1976,75,89,93,89,9.82,84,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.55,www.parleproductsdistributors.in,contact@parleproductsdistributors.com,86,Key player in current market analysis.
IND-DIST-1040,Marico distributors,FMCG,Delhi,National,1989,78,86,85,77,6.5,84,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.15,www.maricodistributors.in,contact@maricodistributors.com,95,Key player in current market analysis.
IND-DIST-1041,Dabur India distributors,FMCG,Chennai,International,1995,84,72,88,66,14.05,92,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.3,www.daburindiadistributors.in,contact@daburindiadistributors.com,85,Key player in current market analysis.
IND-DIST-1042,Godrej Consumer Products distributors,FMCG,Gurugram,National,1978,72,95,75,65,2.63,89,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",79.85,www.godrejconsumerproductsdistributors.in,contact@godrejconsumerproductsdistributors.com,95,Key player in current market analysis.
IND-DIST-1043,Amul (GCMMF) distributors,FMCG,Pune,National,2013,90,73,88,71,7.27,72,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",79.8,www.amul(gcmmf)distributors.in,contact@amul(gcmmf)distributors.com,88,Key player in current market analysis.
IND-DIST-1044,Patanjali Ayurved distributors,FMCG,Lucknow,National,1998,73,83,86,94,9.16,80,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.3,www.patanjaliayurveddistributors.in,contact@patanjaliayurveddistributors.com,90,Key player in current market analysis.
IND-DIST-1045,Adani Wilmar distributors,FMCG,Gurugram,National,1992,83,80,81,87,13.73,70,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.5,www.adaniwilmardistributors.in,contact@adaniwilmardistributors.com,88,Key player in current market analysis.
IND-DIST-1046,Tata Consumer Products distributors,FMCG,Lucknow,National,2016,78,84,97,83,13.02,73,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.3,www.tataconsumerproductsdistributors.in,contact@tataconsumerproductsdistributors.com,93,Key player in current market analysis.
IND-DIST-1047,Colgate-Palmolive distributors,FMCG,Mumbai,National,2015,81,86,86,82,9.01,88,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",84.45,www.colgate-palmolivedistributors.in,contact@colgate-palmolivedistributors.com,93,Key player in current market analysis.
IND-DIST-1048,P&G India distributors,FMCG,Pune,National,1983,70,95,80,88,12.55,76,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",81.85,www.pandgindiadistributors.in,contact@pandgindiadistributors.com,91,Key player in current market analysis.
IND-DIST-1049,PepsiCo India distributors,FMCG,Mumbai,International,1975,77,90,93,70,7.39,95,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.1,www.pepsicoindiadistributors.in,contact@pepsicoindiadistributors.com,93,Key player in current market analysis.
IND-DIST-1050,Coca-Cola India distributors,FMCG,Chennai,National,1983,71,93,77,68,2.3,85,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",79.35,www.coca-colaindiadistributors.in,contact@coca-colaindiadistributors.com,92,Key player in current market analysis.
IND-DIST-1051,Haldiram's distributors,FMCG,Pune,National,1970,83,89,89,79,9.5,78,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",84.35,www.haldiram'sdistributors.in,contact@haldiram'sdistributors.com,90,Key player in current market analysis.
IND-DIST-1052,Bikanervala distributors,FMCG,Kolkata,Regional,1994,79,76,94,81,11.62,84,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.3,www.bikanervaladistributors.in,contact@bikanervaladistributors.com,85,Key player in current market analysis.
IND-DIST-1053,Mother Dairy distributors,FMCG,Noida,National,2017,85,95,83,86,14.58,96,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",88.9,www.motherdairydistributors.in,contact@motherdairydistributors.com,95,Key player in current market analysis.
IND-DIST-1054,Emami Ltd distributors,FMCG,Lucknow,Regional,1985,78,99,85,88,11.72,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.1,www.emamiltddistributors.in,contact@emamiltddistributors.com,86,Key player in current market analysis.
IND-DIST-1055,Jyothy Labs distributors,FMCG,Pune,National,1980,89,90,81,76,3.86,80,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",84.35,www.jyothylabsdistributors.in,contact@jyothylabsdistributors.com,91,Key player in current market analysis.
IND-DIST-1056,Varun Beverages,FMCG,Delhi,National,1984,97,93,94,89,3.66,74,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",90.75,www.varunbeverages.in,contact@varunbeverages.com,91,Key player in current market analysis.
IND-DIST-1057,Hatsun Agro Product,FMCG,Kochi,International,2003,95,87,80,75,2.53,76,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",84.15,www.hatsunagroproduct.in,contact@hatsunagroproduct.com,89,Key player in current market analysis.
IND-DIST-1058,Kwality Wall's Distribution,FMCG,Lucknow,International,2015,73,83,98,75,14.7,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.9,www.kwalitywall'sdistribution.in,contact@kwalitywall'sdistribution.com,90,Key player in current market analysis.
IND-DIST-1059,Vadilal Industries,FMCG,Pune,Regional,1970,90,79,86,66,7.09,80,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",81.35,www.vadilalindustries.in,contact@vadilalindustries.com,97,Key player in current market analysis.
IND-DIST-1060,Sun Pharma distribution,Pharma,Bengaluru,National,2003,99,70,93,75,3.92,92,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.9,www.sunpharmadistribution.in,contact@sunpharmadistribution.com,94,Key player in current market analysis.
IND-DIST-1061,Cipla distribution,Pharma,Kolkata,National,2003,84,96,82,76,10.14,83,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.25,www.cipladistribution.in,contact@cipladistribution.com,91,Key player in current market analysis.
IND-DIST-1062,Dr. Reddy's Laboratories,Pharma,Ahmedabad,International,1982,92,76,95,86,7.1,94,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",88.0,www.dr.reddy'slaboratories.in,contact@dr.reddy'slaboratories.com,87,Key player in current market analysis.
IND-DIST-1063,Zydus Lifesciences,Pharma,Pune,National,2017,87,81,79,88,1.46,96,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.4,www.zyduslifesciences.in,contact@zyduslifesciences.com,88,Key player in current market analysis.
IND-DIST-1064,Lupin Limited,Pharma,Ahmedabad,National,2005,77,78,89,87,7.97,94,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.7,www.lupinlimited.in,contact@lupinlimited.com,95,Key player in current market analysis.
IND-DIST-1065,Aurobindo Pharma,Pharma,Mumbai,International,2006,93,82,77,77,7.26,85,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.45,www.aurobindopharma.in,contact@aurobindopharma.com,88,Key player in current market analysis.
IND-DIST-1066,Torrent Pharmaceuticals,Pharma,Mumbai,National,1997,70,74,94,79,11.05,73,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",77.6,www.torrentpharmaceuticals.in,contact@torrentpharmaceuticals.com,89,Key player in current market analysis.
IND-DIST-1067,Macleods Pharmaceuticals,Pharma,Chennai,Regional,2006,98,94,97,71,11.47,88,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",91.25,www.macleodspharmaceuticals.in,contact@macleodspharmaceuticals.com,94,Key player in current market analysis.
IND-DIST-1068,Alkem Laboratories,Pharma,Bengaluru,Regional,1993,88,80,80,77,9.29,96,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.95,www.alkemlaboratories.in,contact@alkemlaboratories.com,94,Key player in current market analysis.
IND-DIST-1069,Mankind Pharma,Pharma,Mumbai,National,1975,88,96,98,82,7.25,74,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",89.0,www.mankindpharma.in,contact@mankindpharma.com,91,Key player in current market analysis.
IND-DIST-1070,Abbott India,Pharma,Bengaluru,Regional,1975,98,73,93,83,6.68,90,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",87.3,www.abbottindia.in,contact@abbottindia.com,86,Key player in current market analysis.
IND-DIST-1071,GSK India,Pharma,Pune,Regional,1994,75,87,97,78,9.14,78,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.3,www.gskindia.in,contact@gskindia.com,96,Key player in current market analysis.
IND-DIST-1072,Sanofi India,Pharma,Ahmedabad,Regional,2007,87,93,88,77,4.92,94,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",88.25,www.sanofiindia.in,contact@sanofiindia.com,88,Key player in current market analysis.
IND-DIST-1073,Pfizer India,Pharma,Lucknow,Regional,1974,88,96,81,65,1.35,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.6,www.pfizerindia.in,contact@pfizerindia.com,90,Key player in current market analysis.
IND-DIST-1074,Glenmark Pharmaceuticals,Pharma,Mumbai,Regional,1975,89,79,80,73,8.23,90,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.45,www.glenmarkpharmaceuticals.in,contact@glenmarkpharmaceuticals.com,95,Key player in current market analysis.
IND-DIST-1075,Biocon,Pharma,Hyderabad,International,2007,74,85,81,74,9.75,89,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.4,www.biocon.in,contact@biocon.com,96,Key player in current market analysis.
IND-DIST-1076,Ipca Laboratories,Pharma,Ahmedabad,National,1996,98,79,97,73,4.17,94,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",88.7,www.ipcalaboratories.in,contact@ipcalaboratories.com,92,Key player in current market analysis.
IND-DIST-1077,Alembic Pharmaceuticals,Pharma,Ahmedabad,Regional,1994,78,80,82,77,4.4,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.5,www.alembicpharmaceuticals.in,contact@alembicpharmaceuticals.com,89,Key player in current market analysis.
IND-DIST-1078,Intas Pharmaceuticals,Pharma,Mumbai,National,1976,78,90,85,66,6.39,75,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.15,www.intaspharmaceuticals.in,contact@intaspharmaceuticals.com,94,Key player in current market analysis.
IND-DIST-1079,JB Chemicals & Pharma,Pharma,Chennai,Regional,1983,95,81,83,93,2.31,76,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.95,www.jbchemicalsandpharma.in,contact@jbchemicalsandpharma.com,87,Key player in current market analysis.
IND-DIST-1080,Eris Lifesciences,Pharma,Gurugram,National,2005,73,75,97,85,3.76,75,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.4,www.erislifesciences.in,contact@erislifesciences.com,85,Key player in current market analysis.
IND-DIST-1081,Natco Pharma,Pharma,Delhi,National,1981,93,94,89,70,6.7,75,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",86.3,www.natcopharma.in,contact@natcopharma.com,88,Key player in current market analysis.
IND-DIST-1082,Strides Pharma Science,Pharma,Gurugram,International,1982,79,72,78,93,13.66,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",77.95,www.stridespharmascience.in,contact@stridespharmascience.com,85,Key player in current market analysis.
IND-DIST-1083,Granules India,Pharma,Delhi,Regional,1999,93,94,82,85,12.66,77,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",87.45,www.granulesindia.in,contact@granulesindia.com,93,Key player in current market analysis.
IND-DIST-1084,Laurus Labs,Pharma,Lucknow,National,2001,91,82,98,80,2.25,89,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",88.2,www.lauruslabs.in,contact@lauruslabs.com,85,Key player in current market analysis.
IND-DIST-1085,Redington India,Electronics / IT,Ahmedabad,Regional,2008,96,95,95,85,2.9,75,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",90.75,www.redingtonindia.in,contact@redingtonindia.com,93,Key player in current market analysis.
IND-DIST-1086,Ingram Micro India,Electronics / IT,Bengaluru,National,1998,89,94,95,82,4.69,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",90.1,www.ingrammicroindia.in,contact@ingrammicroindia.com,86,Key player in current market analysis.
IND-DIST-1087,Savex Technologies,Electronics / IT,Hyderabad,Regional,1984,77,79,95,78,10.48,82,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.0,www.savextechnologies.in,contact@savextechnologies.com,87,Key player in current market analysis.
IND-DIST-1088,HCL Infosystems,Electronics / IT,Pune,National,2010,74,91,93,79,7.11,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.35,www.hclinfosystems.in,contact@hclinfosystems.com,91,Key player in current market analysis.
IND-DIST-1089,Compuage Infocom,Electronics / IT,Kochi,International,1975,87,77,92,81,13.95,85,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",84.3,www.compuageinfocom.in,contact@compuageinfocom.com,97,Key player in current market analysis.
IND-DIST-1090,Iris Computers,Electronics / IT,Bengaluru,National,1977,89,95,80,65,4.68,89,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.1,www.iriscomputers.in,contact@iriscomputers.com,91,Key player in current market analysis.
IND-DIST-1091,Supertron Electronics,Electronics / IT,Lucknow,Regional,1978,85,92,85,70,12.39,93,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.7,www.supertronelectronics.in,contact@supertronelectronics.com,97,Key player in current market analysis.
IND-DIST-1092,RP tech India,Electronics / IT,Bengaluru,Regional,2005,77,95,92,79,10.53,92,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",87.05,www.rptechindia.in,contact@rptechindia.com,93,Key player in current market analysis.
IND-DIST-1093,Brightstar India,Electronics / IT,Delhi,National,2004,79,93,75,68,11.49,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",78.85,www.brightstarindia.in,contact@brightstarindia.com,86,Key player in current market analysis.
IND-DIST-1094,Inflow Technologies,Electronics / IT,Delhi,National,2002,90,79,91,94,13.58,77,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",86.1,www.inflowtechnologies.in,contact@inflowtechnologies.com,87,Key player in current market analysis.
IND-DIST-1095,TechnoBind,Electronics / IT,Hyderabad,National,1971,71,88,79,77,3.78,89,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.45,www.technobind.in,contact@technobind.com,90,Key player in current market analysis.
