S.No,Influencer / Channel Name,Primary Market,Targeted Film Genre,Key Strength / Rationale,Reach / Engagement Metrics
37,Sree Mukhi,Telugu,Commercial / Family. ,Top television presenter and actor with massive public visibility.,5.1M Instagram followers; commands active interaction across digital platforms.
38,Sudigali Sudheer,Telugu,Mass Comedy. ,Incredible pull among mass audiences; leads powerful fan club networks.,326K+ subscriber fan club base; consistently trends for mass performances.
39,Sandilya & Pruthvi (Chitra Alochana),Telugu,Intellectual / Indie. ,Premier film appreciation podcast centered on serious cinema analysis.,Top-rated film podcast on Apple/Spotify; 63.4K Instagram niche audience.
40,Prema the Journalist,Telugu,Director Deep-Dives.," Specializes in long-form, soulful conversations with elite filmmakers.","597K YouTube subscribers; conducted over 1,000 celebrity interviews."
41,Bithiri Satti (Ravi Kumar),Telugu,Satire / Grassroots., Satirical news and satires that connect with Tier-2 and Tier-3 markets.,851K YouTube subscribers; massive reach for commercial action-comedies.
42,Gabriella Charlton (Gaby),Tamil,Youth / Dance., Bigg Boss Tamil alum; favorite for Gen Z-focused fashion and entertainment.,"2.3M Instagram followers with vibrant, high-energy dance content."
43,Journalist Prabhu (SumanTV),Telugu,Legacy / Mass. ,"Host of ""Tollywood Legends""; ideal for building high-credibility hype.",Established authority within the 8.8M subscriber SumanTV network.
44,Prasad Tech in Telugu,Telugu,Sci-Fi / High-Tech., Leading tech voice; crucial for films featuring futuristic gadgets or VFX.,5.1M YouTube subscribers; 7.7M total social reach.
45,Telugu Geeks,Telugu,Sci-Fi / Intellectual.., Explores science and psychology; resonates with tech-savvy audiences.,1.83M YouTube subscribers; deep digital footprint for educational/sci-fi hooks.
46,Surya (Tell Stories),Telugu,Mystery / Horror. ,Narrator focused on paranormal stories and mystery-thriller discussions.,High-intent audience for atmospheric or bone-chilling horror cinema.
47,Siri Hanumanth,Telugu,Youth / Lifestyle. ,Prominent TV personality and actress; high visibility for romantic dramas.,1.2M+ Instagram followers; strong presence in beauty and fashion segments.
48,Nabha Natesh,Telugu,Youth / Commercial. ,Mega influencer from Hyderabad with strong cinematic credentials.,5.04M Instagram followers; massive reach for glamour-heavy commercial release.
49,Desi Pataka (Fun Pataka),Pan-South,Gossip / Buzz. ,"One-stop destination for entertainment news, gossip, and movie buzz.","1.13M YouTube subscribers; high engagement for ""behind-the-scenes"" gossip."
50,Sekhar Master,Telugu,Dance / Commercial. ,"Renowned choreographer; essential for ""mass dance number"" viral trends.",Top-tier industry authority with high social media engagement for dance-led films.
